MOF,Uptake,Pressure,H,C,N,F,Cl,Br,V,Cu,Zn,Zr,ASA_m^2/g_15prb,NASA_m^2/g_15prb,AV_cm^3/g_15prb,NAV_cm^3/g_15prb,POAV_cm^3/g_15prb,PONAV_cm^3/g_15prb,PLD,LCD,LFPD,Density,Volume,TotalDegreeOfUnsaturation,MetallicPercentage,OxygenToMetalRatio,ElectronegativeToTotalRatio,WeightedElectronegativityPerAtom,NitrogenToOxygen,Epoch40,Epoch1000,Epoch4000,Epoch40Ave,Epoch4000Ave,Epoch1000Ave,HenryCoeff_CO2
PIYZAZ,0.000207224,40,0,0.015545391,0,0,0,0,0,0,0,0,2679.44,0,0.241819,0,0.67408,0,5.66568,7.00061,7.00061,1.03548,514.622,9,25,0,0,0,0,0,4.790787362,15.77546363,0,1.577546363,0.479078736,4.93E-06
PIYZAZ,0.005031021,1000,0,0.015545391,0,0,0,0,0,0,0,0,2679.44,0,0.241819,0,0.67408,0,5.66568,7.00061,7.00061,1.03548,514.622,9,25,0,0,0,0,0,4.790787362,15.77546363,0,1.577546363,0.479078736,4.93E-06
PIYZAZ,0.020103831,4000,0,0.015545391,0,0,0,0,0,0,0,0,2679.44,0,0.241819,0,0.67408,0,5.66568,7.00061,7.00061,1.03548,514.622,9,25,0,0,0,0,0,4.790787362,15.77546363,0,1.577546363,0.479078736,4.93E-06
PIYZED01,0.000200237,40,0,0.015684967,0,0,0,0,0,0,0,0,2701.05,0,0.236987,0,0.635921,0,5.63596,6.96517,6.96517,1.04478,2040.17,33,25,0,0,0,0,0,17.29300233,61.2317074,0,1.530792685,0.432325058,4.94E-06
PIYZED01,0.004996792,1000,0,0.015684967,0,0,0,0,0,0,0,0,2701.05,0,0.236987,0,0.635921,0,5.63596,6.96517,6.96517,1.04478,2040.17,33,25,0,0,0,0,0,17.29300233,61.2317074,0,1.530792685,0.432325058,4.94E-06
PIYZED01,0.020669436,4000,0,0.015684967,0,0,0,0,0,0,0,0,2701.05,0,0.236987,0,0.635921,0,5.63596,6.96517,6.96517,1.04478,2040.17,33,25,0,0,0,0,0,17.29300233,61.2317074,0,1.530792685,0.432325058,4.94E-06
PIYZED03,0.00020328,40,0,0.015880263,0,0,0,0,0,0,0,0,2662.05,0,0.231804,0,0.625833,0,5.60013,6.91936,6.91936,1.05779,2015.08,33,25,0,0,0,0,0,17.32271013,61.2614152,0,1.53153538,0.433067753,5.09E-06
PIYZED03,0.00519216,1000,0,0.015880263,0,0,0,0,0,0,0,0,2662.05,0,0.231804,0,0.625833,0,5.60013,6.91936,6.91936,1.05779,2015.08,33,25,0,0,0,0,0,17.32271013,61.2614152,0,1.53153538,0.433067753,5.09E-06
PIYZED03,0.02101209,4000,0,0.015880263,0,0,0,0,0,0,0,0,2662.05,0,0.231804,0,0.625833,0,5.60013,6.91936,6.91936,1.05779,2015.08,33,25,0,0,0,0,0,17.32271013,61.2614152,0,1.53153538,0.433067753,5.09E-06
PIZNOB,0.005717979,40,0.008417119,0.016834237,0,0,0,0,0,0,0,0,1422.96,0,0.0930186,0,0.32716,0,4.85489,5.81424,5.81424,1.50508,712.833,10,16.66666667,6,0.375,1.29,0,2.070361964,19.57929222,54.73025628,0.064698811,1.710320509,0.611852882,0.000136707
